lon,lat,ppi
27.794803,43.575787,0.000000
27.733058,43.539552,0.000000
27.893484,43.540482,0.158373
27.747776,43.478498,0.880115
27.842234,43.548885,0.000000
27.841916,43.463707,0.000000
27.742933,43.547412,0.000000
27.773678,43.483098,0.000000
27.805160,43.460640,0.003852
27.776462,43.517025,0.000000
27.778406,43.466138,0.000000
27.807622,43.571195,0.000000
27.752442,43.495756,1.522075
27.756505,43.514098,0.037422
27.754297,43.495744,0.235783
27.763925,43.592205,0.000000
27.757023,43.575323,0.146413
27.741135,43.471338,0.288283
27.871274,43.553890,0.000000
27.832382,43.453602,0.000000
27.873852,43.492371,0.005580
27.821329,43.559212,0.000000
27.719304,43.559089,0.058320
27.895125,43.525883,0.123192
27.706089,43.466427,0.674456
27.781532,43.545534,0.015250
27.747531,43.548823,0.000000
27.733879,43.525591,0.548587
27.797714,43.542991,0.394146
27.710336,43.575622,0.270993
27.786205,43.495529,0.049159
27.737250,43.497566,0.691042
27.774585,43.466974,0.000000
27.699788,43.552457,0.126215
27.838135,43.574667,0.000000
27.862610,43.545401,0.000000
27.757325,43.569738,0.000000
27.888495,43.453540,0.000000
27.878522,43.567070,0.000000
27.850541,43.488135,0.251224
27.890965,43.537530,0.000000
27.811203,43.505799,0.000000
27.775230,43.536753,0.000000
27.759236,43.564143,0.062516
27.706331,43.487226,0.010417
27.900732,43.570049,0.000000
27.775430,43.475073,0.002484
27.894750,43.475372,0.691926
27.728036,43.461518,0.572463
27.827713,43.600405,0.129954
27.794560,43.529057,0.494662
27.807406,43.527166,0.000000
27.836753,43.546404,0.000000
27.836915,43.540280,0.000000
27.897558,43.456261,0.009406
27.869406,43.561738,0.148270
27.896319,43.489496,0.000000
27.791117,43.502338,0.439491
27.802876,43.502886,0.029960
27.757307,43.479246,0.000000
27.876136,43.573301,0.000000
27.805443,43.519166,0.000000
27.877862,43.470370,0.000000
27.750221,43.576088,0.000000
27.767583,43.529151,0.703764
27.784660,43.529035,0.000000
27.842561,43.572383,0.594077
27.732635,43.453384,0.919833
27.857977,43.454313,0.712899
27.714063,43.524185,0.066573
27.712707,43.577138,0.195518
27.798296,43.474465,0.000000
27.833846,43.497172,0.033826
27.872541,43.513001,0.012033
27.720967,43.563580,0.000000
27.703964,43.581425,0.158002
27.750551,43.572754,0.000000
27.750244,43.508016,0.000000
27.894478,43.523997,0.006358
27.787123,43.499574,0.125734
27.753094,43.508448,0.000000
27.884538,43.487337,0.000000
27.821999,43.490055,0.000000
27.864045,43.498479,0.029091
27.852953,43.589144,0.062601
27.735112,43.555747,0.069977
27.734434,43.530539,0.000000
27.731785,43.597997,0.000000
27.807662,43.499971,0.000000
27.741592,43.569301,0.000000
27.796680,43.539667,0.623048
27.727951,43.567678,0.070346
27.769744,43.543363,0.357166
27.872025,43.468524,0.024177
27.838134,43.494169,0.000000
27.718412,43.463109,0.779773
27.699637,43.507257,1.187765
27.879951,43.520598,0.139074
27.811987,43.472027,0.030989
27.851548,43.550977,0.033780
27.723098,43.472444,0.323703
27.711471,43.587861,0.024872
27.718912,43.463556,0.968900
27.891382,43.498629,0.051284
27.873899,43.589886,0.000000
27.745143,43.475544,0.030763
27.861100,43.578458,0.400351
27.723355,43.504408,0.719125
27.858664,43.555156,0.208780
27.765427,43.583641,0.052242
27.801796,43.561421,0.345047
27.861186,43.454019,0.739967
27.800922,43.504791,0.000000
27.865164,43.559519,0.000000
27.762662,43.600137,0.098806
27.736172,43.571677,0.136450
27.769956,43.589193,0.149784
27.800959,43.507582,0.000000
27.821745,43.516889,0.013390
27.800642,43.521001,0.000000
27.791219,43.491172,0.000000
27.752513,43.511423,0.000000
27.857658,43.545349,0.035591
27.804843,43.576437,0.393167
27.836709,43.489498,0.000000
27.810719,43.571263,0.056361
27.719610,43.511905,0.000000
27.880973,43.497269,0.646194
27.736883,43.548712,0.069300
27.802110,43.557097,0.521480
27.889061,43.584817,0.000000
27.829851,43.503504,0.000000
27.814778,43.523242,0.102325
27.725933,43.513035,0.634694
27.780414,43.458831,0.051192
27.781044,43.574891,0.000000
27.850611,43.572414,0.633742
27.727519,43.572993,0.000000
27.758416,43.488873,0.658286
27.818479,43.467479,0.000000
27.732841,43.521635,0.000000
27.775900,43.569704,0.000000
27.710049,43.456228,0.000000
27.823425,43.522189,0.000000
27.854203,43.475952,-0.000000
27.835652,43.538398,0.000000
27.837104,43.536047,0.000000
27.730726,43.459069,0.225597
27.872968,43.516870,0.124458
27.837253,43.564679,0.283278
27.703798,43.460769,0.000000
27.764520,43.472715,0.000000
27.816620,43.549701,0.000000
27.738621,43.457758,0.372941
27.879359,43.556529,0.007378
27.773884,43.489580,0.062799
27.874441,43.524602,0.053246
27.780569,43.595604,0.318384
27.832119,43.569488,0.056577
27.860864,43.553158,0.000000
27.882343,43.489425,0.000000
27.716637,43.501208,0.570167
27.731142,43.575581,0.000000
27.712358,43.505467,0.000000
27.897518,43.570434,0.000000
27.778188,43.516563,0.000000
27.800373,43.538110,0.530989
27.750385,43.559339,0.350901
27.721861,43.576181,0.000000
27.707404,43.462547,0.753961
27.764056,43.475149,0.239587
27.886522,43.487682,0.000000
27.865244,43.452548,0.916106
27.862698,43.560258,0.039311
27.778378,43.598680,0.069224
27.721320,43.489293,0.840850
27.758309,43.579096,0.000000
27.737030,43.570951,0.000000
27.728034,43.543726,0.050289
27.707067,43.592570,0.237142
27.832557,43.502404,0.021026
27.729767,43.502656,0.935915
27.841537,43.543307,0.000000
27.763256,43.568708,0.000000
27.782104,43.570652,0.000000
27.778776,43.504584,0.033151
27.805002,43.504582,0.000000
27.890446,43.586337,0.000000
27.810401,43.575227,0.080513
27.746855,43.463917,0.675276
27.762435,43.483894,0.000000
27.803122,43.595988,0.614926
27.799080,43.580799,0.000000
27.788868,43.529096,0.000000
27.742734,43.480782,0.772663
27.713309,43.470615,0.021518
27.832133,43.534552,0.034576
27.719788,43.454006,0.471850
27.711302,43.583990,0.013999
27.738092,43.586882,0.112910
27.874196,43.516230,0.136895
27.873509,43.580075,0.000000
27.783945,43.512022,0.156886
27.885906,43.479402,0.000000
27.845264,43.553095,0.021236
27.880805,43.545263,0.057985
27.803513,43.466955,0.000000
27.813152,43.457432,0.071299
27.747378,43.596546,0.000000
27.759345,43.464285,0.841851
27.706312,43.559800,0.505876
27.876385,43.590497,0.000000
27.757988,43.454660,0.815874
27.811821,43.496520,0.000000
27.888845,43.494327,0.000000
27.789477,43.575734,0.281689
27.868613,43.454773,0.000000
27.745538,43.547846,0.000000
27.795944,43.511939,0.000000
27.757252,43.514453,0.050027
27.762990,43.547640,0.000000
27.790153,43.475782,0.000000
27.859150,43.580634,0.000000
27.868895,43.465846,0.090987
27.722310,43.593015,0.034252
27.891148,43.558329,0.000000
27.878035,43.593186,0.000000
27.879604,43.496739,0.008520
27.852739,43.468579,0.299425
27.709029,43.580313,0.129466
27.715563,43.567306,0.127619
27.725700,43.483323,0.727939
27.698940,43.457557,0.000000
27.853269,43.541330,0.323595
27.798410,43.548839,0.268838
27.757784,43.487797,0.558072
27.699805,43.500322,0.000000
27.854116,43.566265,0.346389
27.863159,43.471022,0.002130
27.829072,43.464611,0.000000
27.703941,43.451764,0.061763
27.804743,43.587513,0.069774
27.770123,43.485553,0.000000
27.879337,43.486837,0.000000
27.727234,43.559579,0.050485
27.767626,43.503219,0.000000
27.816721,43.492974,0.000000
27.846279,43.475200,0.020433
27.838993,43.502627,0.000000
27.888228,43.536561,0.042579
27.785729,43.496973,0.000000
27.779277,43.562658,0.127085
27.867801,43.536178,0.000000
27.883981,43.508501,0.252202
27.795066,43.529864,0.255233
27.897779,43.529643,0.000000
27.763299,43.483798,0.000000
27.716900,43.575581,0.000000
27.787968,43.507492,0.924703
27.826416,43.460219,0.000000
27.781111,43.532121,0.000000
27.858545,43.468266,0.578133
27.753411,43.494129,0.441954
27.700820,43.555962,0.298153
27.748012,43.507671,0.000000
27.831753,43.515916,0.000000
27.871729,43.568293,0.000000
27.708677,43.508011,0.284338
27.843667,43.589483,0.133111
27.711080,43.586243,0.000000
27.788468,43.536392,0.000000
27.742628,43.552817,0.528686
27.893725,43.506534,0.775173
27.870156,43.536430,0.311260
27.864101,43.545750,0.000000
27.800539,43.531986,0.462603
27.720808,43.467056,0.515691
27.731603,43.562522,0.045905
27.782192,43.587039,0.747197
27.803422,43.450748,0.000000
27.835226,43.543444,0.000000
27.884378,43.501745,0.494776
27.785452,43.599532,0.080243
